4,3,0.3192,1.34,1.13
4,2.8,1.0973,1,1.94
5.2,3,3.0626,0.62,3.425
2.4,2.8,0.5674,1.34,3.925
1,3.5,0.2726,3.62,3.655
3.8,3.6,0.9475,3.54,1.03
3.3,3,0.5302,1.22,0.875
5.7,2.63,4.0394,0.28,1.87
4.15,2.4,4.337,0.04,2.43
4,1.7,3.772,0.28,2.04
1.3,1.5,0.2067,2.48,1.765
3,3,0.1515,1.4,2.22
3.7,2.3,0.9396,0.76,2.085
1,1,0.8701,2.7,0
4.5,3,0.0899,0.72,1.54
2,2.5,0.7344,1.06,2.14
2.5,2.5,2.0053,1.02,1.62
3.5,3,0.9478,0.7,2.12
3.5,2,1.4517,1.3,1.97
1,0.8,0.7846,1.16,0.77
3,3,0.1317,1.3,1.46
1.7,2.1,0.7233,1.6,1.825
0,0,4.8158,0.18,0.845
5,2.4,3.609,0.9,4.125
3.5,3.5,4.8387,0.62,5.145
2.5,2.5,1.5113,1.62,2.71
2.2,0.9,0.3302,2.56,0.455
0,0,0.4916,0.24,1
3.4,3.4,1.2568,5.22,2.275
3.5,2.5,0.3359,3.74,1.9
2,2,0.2307,3.52,2.125
3.5,3.5,0.1611,1.74,1.305
4.5,2.5,0.0487,0.7,3.515
1,1,0.7052,1.46,0.28
